,IBU,ABV,Description,type,SRM
2225,20,10.0,"Triple B Hobo is a Baltic Porter that has been aging in Bourbon barrels for over a year. The Bourbon Barrel Baltic (Triple B) Porter has a fantastic balance between the base style Baltic Porter, and the complex bourbon barrel from start to finish. The smooth roasty malt profile, and vanilla and oak notes hide the nearly 10%abv very cleverly!

Triple B Hobo won a Silver medal at Beer Wars in the Wood Aged Beer Category in spring of 2020! Read Less",2,26
2226,45,10.0,Porter - Imperial / Double Baltic,2,30
2227,30,10.0,"Imperial porter aged in bourbon barrels 16 months with coconut, toasted almonds, vanilla bean ",2,38
2228,45,11.5,Porter - Imperial / Double Coffee,2,35
2229,35,12.0,Porter - Imperial / Double Coffee,2,18
2230,45,13.7,Porter - Imperial / Double,2,39
2231,46,9.2,Porter - Imperial / Double Coffee,2,32
2232,52,11.0,Porter - Imperial / Double Coffee,2,19
2233,70,11.5,Porter - Imperial / Double Coffee,2,21
2234,48,9.9,Porter - Imperial / Double Coffee,2,34
2235,40,8.0,An Imperial Coffee Porter collaborated with Bird Rock Coff,2,31
2236,20,9.3,Porter - Imperial / Double Coffee,2,31
2237,60,10.0,Porter - Imperial / Double Coffee,2,31
2238,40,10.0,"We took our Salted PB Cup Porter, Clusternutter, amped it up, and aged it in bourbon barrels with pure vanilla. Hail to the ki",2,29
2239,31,6.9,Porter - Other,2,21
2240,45,11.5,Porter - Other,2,18
2241,29,5.3,"Peanut butter, chocolate, hints of coffee",2,22
2242,26,10.0,Porter - Other,2,26
2243,15,7.3,The base beer of our award-winning Noche Dulce with praline pecan cocoa nibs and swe,2,18
2244,26,6.2,Porter - Other,2,36
2245,30,5.5,"Porter brewed with house toasted coconut flakes, cacao nibs, vanilla bean a",2,19
2246,19,9.5,Porter - Other,2,38
2247,35,6.3,Porter - Other,2,23
2248,45,13.0,Porter - Other,2,20
2249,30,6.0,Robust porter made with real roasted peanuts and peanut butter from Germack Pistach,2,31
2250,30,6.0,"Chocolate, Coffee, and Hazelnut Porter (Chocolate from Condor Chocolates, Coffee from Jittery Joes Roaster in ",2,28
2251,40,9.5,"Bourbon barrel aged, with va",2,39
2252,35,7.0,Maple Espr,2,25
2253,22,5.5,Porter - Other,2,19
2254,22,6.0,Co,2,33
2255,34,6.3,Porter - Other,2,18
2256,33,6.8,Porter - Other,2,28
2257,35,13.6,Porter - Other,2,17
2258,25,6.5,Porter - Other,2,34
2259,45,6.5,Porter - Other,2,22
2260,24,6.4,Porter - Other,2,20
29,33,5.4,"Here's a judgment call that everyone will agree on. The light, crisp flavor is as sharp as the batter at the plate. Perceptive beer-drinkers and batters alike always consider taking a Czech Swing",3,3
129,60,4.6,"Mary was Edward's mother and our great-grandmother. A German-style pilsner brewed with our well water, German pilsner malt, our favorite German hops, and classic German lager yeast. 4.6% abv",3,3
215,40,5.0,"A craft brewed version of a traditional German style pilsner that we brew with all german malt and noble hops. Clean, Dry & Hoppy!",3,7
241,20,4.5,"Bohemian Pilsner Malt, White Wheat, and Acidulated Malt with Czech Saaz hops make up the classic Czech-style lager Golden Pilsner.",3,3
308,25,4.9,"Bibo (pronounced bee-bo) is a true pilsner that has a pronounced continental hop flavor and aroma. Hopped with Czech Saaz, US Sterling, and Huell Melon",3,6
335,45,5.3,"Are you craving something a little more rustic? Our pilsner will get you there. Loads of Czech and German hops, the finest quality Continental pilsnet malt, and uber-traditional production methods are the hallmarks of this glorious lager",3,7
350,38,4.9,"The story of pilsner starts in 19th century Bohemia when a Bavarian monk smuggled a special yeast to a brewmaster in Pilsen. The story of pFriem Pilsner starts in the Pacific Northwest where it acquires the aroma of fresh grass and flowers and a touch of honey. While there are no monks involved in this pilsner, there is still a crisp and spicy finish",3,6
442,45,4.8,"We are constantly inspired, refreshed and challenged by the rugged yet beautiful terrain on the West Coast of Wyoming. The beer you are holding is liquid sunshine, and the perfect companion on your next outdoor expedition. Pack it in, pack it out, and add some Pils to your gnarly life",3,4
479,40,5.2,"Elegant and subtle, this hoppy pilsner balances bready malts with striking noble hops. Puma pilsner pounces with golden brilliance as floral aromatics punctuate each sip",3,6
486,35,5.2,"Crisp, clean and incomparably quaffable, Hardywood Pils sparkles a brilliant shade of gold with a rich, cloud-white head. Hand crafted with only the finest European pilsner malt and German noble hops, Pils is patiently conditioned for weeks in our lagering tanks, maturing into a beer that refreshes the palate and satiates the soul. Brewed in strict accordance with the Reinheitsgebot, this classic pilsner is the quintissential lager beer in its purest form. A tad drier than its Bohemian cousin with the signature snappy herbal spice of Bavarian Hallertau hops to balance delicate maltiness, this pils offers a nod to old world tradition by the innovative brewers at Hardywood. Prost",3,4
511,43,4.8,"DownrightÃÂ® Pilsner is a deep golden color and medium bodied, with a soft round malt profile and crisp and spicy hop character on the finish. This lager is brewed in the traditional Pilsner style, using authentic Pilsner malt and noble Saaz hops. The beer carbonates completely naturally as it lagers in our fermentation tanks for six weeks.

A unique twist to Downright is the dry hop addition of Saaz hops. This additional infusion of hops gives the beer an extra refreshing bite on the finish.

**2022 World Beer Cup Silver Medal*",3,5
528,35,4.6,"Looking to Germany for inspiration, our German Pilsner is drier and blonder than the classic Bohemian-style pilsner. Brewed with pilsner malt and Noble hops, German Pilsner has a floral and spicy aroma with flavors of lightly sweet malt, finishing firm and dry on the palate. This refreshing pilsner is served in the Ã¢ÂÂKellerÃ¢ÂÂ style, meaning unfiltered and naturally carbonated. Beauty in simplicity, as this two malt and three hop lager won a gold medal at the 2019 GABFÃÂ® in the Kellerbier/Zwickelbier category",3,2
2030,42,5.0,Pilsner - Czech,3,2
2031,32,5.4,Pilsner - Czech,3,2
2032,40,5.6,Pilsner - Czech,3,2
2033,40,5.0,Pilsner - Czech,3,4
2034,30,4.4,Pilsner - Czech,3,5
2035,37,4.7,Pilsner - Czech,3,2
2036,30,4.7,"Rooted in tradition, our SvÄtlÃ½ LeÅ¾Ã¡k 12Â° is triple decocted and brewed with imported Moravian barley and",3,4
2037,40,5.1,"Czech Keller Pilsner, li",3,4
2038,20,4.4,Hops: Saaz Malts: Bohemian Pilsner Sauermaiz Vien,3,7
2039,40,5.0,Pilsner - Czech,3,3
2040,38,5.8,One of the best renditions of the Bohemian style Pilsner using all German malts and Czech and German hops! Multi award winning Pilsner ,3,2
2041,29,3.8,Pilsner - Czech,3,4
2042,25,5.0,Czech Inspi,3,7
2043,30,5.1,Pilsner - Czech,3,5
2044,30,4.7,"Collab with Bierstadt Lagerhaus

The Reinheitsgebot is the German purity law stating beer must be made using only water, malt, hops, & yeast. Early German immigrant brewers had to throw this rule out the window in order to brew beer with ingredients on hand, i.e. Cheap corn, rice & poor quality barley. This year we teamed up with Bierstadt Lager of Denver Colorado to brew this classic German-style Pilsner using all American ingredients including Crystal hops from the Hop Head Farms in Michigan & California grown, floor malted grain from Admiral Maltings of Alameda, CA & releasing it on the 504th anniversary of the Reinheitsgebot, April 23, 2020, bringing glory back to the American made lager. Prost! Read Less",3,3
2045,20,5.1,Pilsner - German,3,4
2046,37,4.9,Pilsner - German,3,2
2047,30,4.9,Pilsner - German,3,3
2048,32,4.8,"A humble offering. The tax paid for our sins. For among the catacombs of our prized memoirs, we shall uncover the prestige of elegance through the veil of simplicity. Made with a decoction of 100% German Pilsner malt to maximize the capability of this remarkable grain. Hopped extensively in our whirlpool with Grungeist, Saaz and Hallertau Blanc. A beautiful complexion of culinary compliment. Your repeatable drinkable, dream-fulfiller. Read Less",3,4
2049,60,4.6,Pilsner - German,3,2
2050,35,4.8,"Features Willamette hops from the Pacific NW bringing a subtle spiciness with herbal, floral, and fr",3,2
2051,35,5.2,Pilsner - German,3,2
2052,40,5.5,Pilsner - German,3,5
2053,47,5.4,"German style pilsner hopped with Hallertau Mittelfruh, Tettnang, ",3,3
2054,35,5.0,Pilsner - German,3,6
2055,37,5.0,Pilsner - Imperial / Double,3,2
2056,24,8.3,"Imperial Pilsner dry-hopped with Mosaic, Calista,",3,3
2057,37,7.6,Pilsner - Imperial / Double,3,5
2058,100,7.5,"We've made learning your ABCS easy by adding copious amounts of Apollo, Bravo, Calypso, and Simcoe. Intense hoppy aromas of stone fruit, citrus flavors, and piney spiciness. Deep golden in color with a resinous haze. A true celebration of hops. Read Less",3,4
2059,55,7.0,Pilsner - Imperial / Double,3,3
2060,1,7.0,Pilsner - Imperial / Double,3,4
2061,25,8.0,Pilsner - Imperial / Double,3,6
2062,66,8.0,Pilsner - Imperial / Double,3,7
2063,60,8.3,Pilsner - Imperial / Double,3,7
2064,35,7.5,Pilsner - Imperial / Double,3,4
2065,60,10.3,Pilsner - Imperial / Double,3,6
2066,25,7.7,Pilsner - Imperial / Double,3,7
2067,80,10.5,Pilsner - Imperial / Double,3,3
2068,65,8.0,Pilsner - Imperial / Double,3,4
2069,48,9.0,Pilsner - Imperial / Double,3,3
2070,65,10.4,Pilsner - Imperial / Double,3,6
2071,35,7.5,Pilsner - Imperial / Double,3,5
2072,60,7.0,"With an extra load of Cascade hops from start to finish, we have upended our Pilsner. ig hop flavors of citrus and pine abound, but with a smooth malt character this one is remarkably easy to drink. Read Less",3,2
2073,40,9.0,"Notes of Muscadines and a hint of tropical fruits, The Jury stands out as an excellent Imperial Pilsner experience with decadent flavors and rich malt complexity. Read Less",3,7
2074,20,4.2,"Hops: Hallertauers (Magnum, Mittelfruh, Blanc) Malt: Bohemian Pilsner, Vienna, Sauermal",3,7
2075,35,5.5,Pilsner - Italian,3,3
2076,33,4.8,Pilsner - Italian,3,4
2077,30,5.5,Pilsner - Italian,3,2
2078,35,5.0,Dry-hopped with Mittlfruh. Brewed in collaboration with Blackberry Farm Brewery. Lagered 3 months. Weyermann Er,3,5
2079,35,5.3,Pilsner - Italian,3,5
2080,28,5.0,Pilsner - Italian,3,3
2081,32,5.5,Pilsner - Italian,3,6
2082,37,5.2,"Italians like to add a little flair to their pilsners by dry hopping for an extra layer of aroma. Because we love hops and it IS fresh hop season, we decided to add some Northwest flair to that Italian flair. That's a whole lotta flair! We made this beer extra special by dry hopping with 50 lbs of freshly harvested El Dorado hops from CLS Farms. Aromas of tropical fruit and pear are carried beautifully on a base of crisp, light pilsner malt. Deliziosa! Read Less",3,5
2083,41,5.0,"Italian-Style Pilsner; orange peel, spearmi",3,3
2084,26,4.8,Pilsner - Italian,3,7
2085,40,6.0,Pilsner - Other,3,6
2086,50,6.0,Pilsner - Other,3,4
2087,10,5.4,Pilsner - Other,3,6
2088,20,5.5,Pilsner - Other,3,5
2089,34,5.5,Pilsner - Other,3,2
2090,36,5.5,Pilsner - Other,3,7
2091,28,5.5,Pilsner - Other,3,6
2092,25,4.7,Pilsner - Other,3,2
2093,40,5.2,Pilsner - Other,3,2
126,10,7.0,"Gold Medal Winner Ã¢ÂÂ 2004 Great American Beer Festival. This double white ale is brewed with a Belgian yeast strain, plenty of coriander and curacao orange peel",4,2
176,18,5.5,"Pret Wit has a strong backbone of wheat and oat malts, which give body and fullness to the light citrus notes of coriander and bitter orange peel. The faint citrus presence on the finish along with a slight acidity cleanses the palate and belies the relatively substantial body of the beer. Notes of chamomile and very slight herbal hops add color to the light, ephemeral nature of Pret Wit.

The determination to create the perfect witbier included sourcing premium ingredients, such as the perfect oat malt to pair with carefully selected bitter orange peel and coriander ground the day the beer is brewed versus powdered",4,4
280,70,13.0,"Wood Ya Honey is a wheat wine style ale brewed with generous amounts of local wild flower honey. After aging in bourbon barrels for one year, this beer emerges with the decadent character of dripping honey comb, marzipan, and raisin",4,4
286,16,5.0,Southeast-Asian inspired witbier lightly spiced with ginger and lemongrass.,4,4
317,15,5.4,"A traditional take on a Bavarian classic! Poured into a 23 oz. Hefe glass, this beer is served mit hefe with a voluminous white head. The aroma is everything we love in the style; clove, banana and vanilla. The body is rich and creamy, yet finishes fairly dry and is as refreshing as any beer youÃ¢ÂÂll drink here or anywhere else",4,2
355,18,5.1,"It is considered polite in Belgium to stand for a toast. Stand now, and raise a glass to sweet aromas of orange and spice, light-creamy flavor and a refreshing finish. HereÃ¢ÂÂs looking at you, Wit",4,2
382,14,5.1,"Our interpretation of this classic and refreshing Belgian style Wit ale is brewed with organic pilsner and wheat malts from Canada. Freshly ground coriander and Curacao orange peel along with a special Wit yeast strain contribute wonderful orange and citrus aromas and a crisp, yet silky mouthfeel",4,2
383,25,5.3,"Cool off this Summer with a juicy and refreshing Chicago favorite built for the season. Bask in radiant citrus notes while soaking up its floral ambiance. By the time the leaves change, our Summer Ale will be just a sun-dappled memory, so crush a few while you've got the chance",4,2
401,12,7.2,If you dream of wheat this brew will get your toes tapping. Since 1995 we have brewed Bavarian style wheat beers exclusively for the same great state that grows and malts our own Wisconsin wheat. In a world full of posers this a true hefe-weizen naturally 100% bottle fermented and hazy. Expect this beer to cascade effervescent into your glass. The rich spicy clove and cinnamon notes will greet your nose while sweet fruit and wheat kiss your lips. Lick the foam from your mouth and admit sometimes you just gotta get up and dance,4,4
490,12,6.8,"A Belgian wheat beer brewed with a touch of rye and a massive addition (over 1,000 lbs. per 40-barrel batch) of plump, ripe blackberries grown by Agriberry in Hanover County, Hardywood Virginia Blackberry offers an assertive fruit character while remaining extremely refreshing. Ruby hued with the bright aroma of fresh bramble berries, this beerÃ¢ÂÂs pleasantly gentle body leads to a rather dry, rounded fruit finish, making it irresistible on a hot summer day",4,2
505,15,4.9,"GABF: 2013 Gold, 2015 Bronze, 2018 Silver in the Belgian-style Witbier category.
Unfiltered Wheat Beer with Orange Peel, Coriander, and Grains of Paradise (relative of ginger root). A light and refreshing beer, with a balance of drinkability and complexity. Crisp, citrus flavor with spice and a subtle pepperiness on the finish",4,2
1374,30,6.0,"Birdseye is Baerlicâs take on the long lost Kottbusser style beer originally brewed in Cottbus, Germany. Unfortunately, this style went the way of the Dodo bird as the German Beer Purity Law banned brewing beer with wheat, oats, honey and molasses. Birdseye is brewed with a blend of local honey, barley malt, Bobâs rolled oats and molasses, and kettle soured for a mellow, tart finish. Read Less",4,4
1378,18,5.8,Kottbusser. Historical style. Clean fermented northern German wheat beer brewed with oa,4,4
2999,45,5.5,Wheat Beer - American Pale Wheat,4,3
3000,45,5.5,Wheat Beer - American Pale Wheat,4,3
3001,104,6.5,Wheat Beer - American Pale Wheat,4,2
3002,44,5.0,Wheat Beer - American Pale Wheat,4,4
3003,15,5.6,Wheat Beer - American Pale Wheat,4,3
3004,45,5.8,"This wheat IPA is brewed with Citra and Simcoe hops, creating a balanced flavor of hop",4,2
3005,35,5.6,Wheat Beer - American Pale Wheat,4,4
3006,45,5.5,Jungle Boogie with whi,4,3
3007,12,5.0,Wheat Beer - American Pale Wheat,4,2
3008,21,5.8,Blueberr,4,2
3009,45,5.5,Wheat Beer - American Pale Wheat,4,3
3010,24,5.7,Wheat Beer - American Pale Wheat,4,3
3011,16,4.7,Wheat Beer - American Pale Wheat,4,4
3012,14,5.0,Wheat Beer - American Pale Wheat,4,4
3013,40,7.2,Wheat Beer - American Pale Wheat,4,2
3014,46,5.0,Wheat Beer - American Pale Wheat,4,4
3015,34,6.3,Wheat Beer - American Pale Wheat,4,4
3016,16,4.7,Wheat Beer - American Pale Wheat,4,3
3017,44,5.4,Jungle Boogie is an American Wheat beer with just enough complex malt character to balance the hops and fruity rooibos t,4,2
3018,13,5.3,This refreshing watermelon wheat that will have you wa,4,2
3019,15,5.6,Wheat Beer - American Pale Wheat,4,3
3020,20,4.7,"A bright, citrusy and grapefruit forward wheat beer with a medium body and moderate",4,4
3021,12,5.6,Wheat Beer - American Pale Wheat,4,2
3022,28,9.6,"Dunkelweizen beers are the dark, robust, and surly cousins of the German-style hefeweizen. We elevate the traditional Dunkelweizen to the next level with the addition of rye and other specialty malts, building on the rich flavor profile. Our brewers then aged the beer in barrels formerly used to mature rye whiskey. With the first sip, youâll discover the fruity and spicy nature of the Weizen yeast, but the finish is where the rye barrels shineâpeppery and intense with a touch of vanilla flavor for a truly unique beer. Read Less",4,2
3023,11,5.0,Wheat Beer - Dunkelweizen,4,3
3024,18,5.9,Wheat Beer - Dunkelweizen,4,4
3025,10,4.4,Wheat Beer - Dunkelweizen,4,3
3026,16,7.0,Wheat Beer - Dunkelweizen,4,3
3027,12,5.25,"Creamy, banana and plum, with chocolate and ",4,2
3028,14,5.2,Wheat Beer - Dunkelweizen,4,3
3029,15,6.0,This dark wheat beer had a great spice note along with a touch of classic banan,4,2
3030,22,5.1,Wheat Beer - Dunkelweizen,4,3
3031,13,5.3,"This German dark wheat beer is brewed with bready malts, chocolate malts, and wheat. Banana and Chocolate flavors along with subtle spi",4,2
3032,20,5.1,German-style dark,4,4
3033,12,5.3,Wheat Beer - Dunkelweizen,4,4
3034,21,7.7,Wheat Beer - Dunkelweizen,4,4
3035,16,5.2,Wheat Beer - Dunkelweizen,4,4
3036,22,5.0,Wheat Beer - Dunkelweizen,4,2
3037,25,5.5,Wheat Beer - Dunkelweizen,4,3
3038,18,5.3,Wheat Beer - Dunkelweizen,4,2
3039,19,4.7,Wheat Beer - Dunkelweizen,4,4
3040,18,5.5,This unfiltered dunkelweizen was brewed in our open fermenters to highlight the famous fruit-forward Bavarian yeast character which carries through the layers of rich wheat malt flavor. Alluring aromas of banana and clove make this dark wheat beer a âfall pleasureâ to enjoy as the leaves change and temperatures drop here in western North Carolina. Read Less,4,2
3041,20,5.3,Wheat Beer - Dunkelweizen,4,3
3042,15,11.1,Wheat Beer - Dunkelweizen,4,2
3043,11,4.4,Wheat Beer - Dunkelweizen,4,2
3044,11,5.6,Wheat Beer - Hefeweizen,4,4
3045,10,4.7,Wheat Beer - Hefeweizen,4,2
3046,18,8.0,Sweet banana with chocolate and peanut bu,4,3
3047,11,5.6,Wheat Beer - Hefeweizen,4,4
3048,13,5.5,Wheat Beer - Hefeweizen,4,4
3049,10,5.5,Milkshake Hefeweizen Style Ale brewed with lactose and Madagascar vanilla beans. All banana flavoring comes from the yeast used. No f,4,2
3050,14,6.2,Wheat Beer - Hefeweizen,4,3
3051,19,5.8,Wheat Beer - Hefeweizen,4,2
3052,18,8.0,"Sweet banana, chocolate & pe",4,3
3053,11,5.2,Wheat Beer - Hefeweizen,4,4
3054,18,5.5,A traditional Bavarian-style hefeweizen with banana and c,4,3
3055,12,5.7,Wheat Beer - Hefeweizen,4,3
3056,60,6.5,Wheat Beer - Hefeweizen,4,3
3057,12,6.0,Our Hef is in the classic German style. We step mash to bring forward the clove characteristic and let banana characteristics take a,4,2
3058,11,5.4,Traditional German Heffeweizen brewed using hundreds of pounds of fr,4,4
3059,11,5.1,"Bottle-conditioned unfiltered German wheat beer. Hazy, banana & clove notes from",4,2
3060,30,6.0,Wheat Beer - Hefeweizen,4,4
3061,12,5.1,Wheat Beer - Hefeweizen,4,2
3062,36,5.25,Hefeweizen with Peach a,4,4
3063,25,7.0,Wheat Beer - Hefeweizen,4,2
3064,17,7.9,Wheat Beer - Hefeweizen,4,3
3065,12,5.2,Wheat Beer - Hefeweizen,4,4
3066,12,5.8,A German classic. Enjoy a tall glass with flavor and aroma reminiscent of Ba,4,4
3067,15,5.4,Wheat Beer - Hefeweizen,4,2
3068,6,4.5,Wheat Beer - Hefeweizen,4,3
3069,15,11.2,Wheat Beer - Hefeweizen,4,4
3070,9,5.6,Raspberry - Refreshin,4,2
3071,8,4.3,Wheat Beer - Hefeweizen,4,4
3072,13,5.2,Wheat Beer - Hefeweizen Light / Leicht,4,2
3073,10,5.0,Wheat Beer - Hefeweizen Light / Leicht,4,3
3074,23,4.2,Lighter than air. This experimental American Hefeweizen is lighter and more bready than a traditional G,4,3
3075,11,5.6,"A more quaffable, lightweight version of our regular hefeweizen. Light bodied with banana and clove aromas and low ",4,4
3076,13,5.9,Wheat Beer - Hefeweizen Light / Leicht,4,4
3077,21,4.7,Wheat Beer - Hefeweizen Light / Leicht,4,4
3078,18,4.7,"American-style hefeweizen. Crisp and clean with a touch of hops (Sterling, Crystal, ",4,2
3079,18,4.2,A simple wheat ale with a touch of Belgian character for the perfect crushable ,4,3
3080,20,5.2,Wheat Beer - Hefeweizen Light / Leicht,4,3
3081,5,4.0,Wheat Beer - Hefeweizen Light / Leicht,4,2
3082,20,4.0,Wheat Beer - Hefeweizen Light / Leicht,4,2
3083,30,5.0,"Summer seasonal. Aroma of banana, clove, and fresh bread. Hint of caramel flavor, clean, refreshing finish. Appropriate to garnish with a wedge of lemon. This is not quite a true-to-style hefeweizen, in that it possesses slightly more color than a traditional hefe, with a hint of caramel in the flavor. An unfiltered, dry, hoppy wheat ale! Read Less",4,3
3084,12,5.3,Wheat Beer - Hefeweizen Light / Leicht,4,3
3085,16,5.1,"A hoppier version of our Hefeweizen, made with Illinois-gro",4,3
3086,43,5.6,Wheat Beer - Hopfenweisse,4,3
3088,41,10.0,Wheat Beer - Kristallweizen,4,2
3089,11,4.8,"Gluten Reduced American Krystal Weiss. Light body, easy drinking, with ginger",4,2
3090,15,4.5,Wheat Beer - Kristallweizen,4,4
3091,14,5.2,Wheat Beer - Kristallweizen,4,4
3092,11,5.6,Wheat Beer - Kristallweizen,4,4
3093,10,4.5,"An unfiltered German-style wheat beer dry-hopped with Zappa, El Dorado, a",4,2
3094,11,5.0,Wheat Beer - Kristallweizen,4,4
3095,5,4.5,Wheat Beer - Kristallweizen,4,2
3096,13,5.2,Wheat Beer - Kristallweizen,4,4
3097,15,5.7,Wheat Beer - Kristallweizen,4,2
3098,23,5.1,Wheat Beer - Kristallweizen,4,3
3099,16,5.2,Wheat Beer - Kristallweizen,4,2
3100,22,4.6,Wheat Beer - Kristallweizen,4,2
3101,12,5.0,Wheat Beer - Kristallweizen,4,3
3102,15,5.0,"Light, s",4,2
3103,25,5.2,Wheat Beer - Kristallweizen,4,4
3104,20,5.5,Wheat Beer - Kristallweizen,4,3
3105,34,5.0,"Kristallweis biers are the lighter, filtered, cousins of the classic German-style wheat beer. Ours has the characteristic spicy fruit notes of the traditional Bavarian style, but with an added herbaceous hop note from a hit of German Hallertau Blanc hops. Read Less",4,3
3106,10,5.7,Wheat Beer - Kristallweizen,4,4
3107,18,4.5,Wheat Beer - Kristallweizen,4,4
3108,11,5.2,Wheat Beer - Kristallweizen,4,4
3109,14,5.0,"Literally translated to ""crystal wheat,"" this German - style Hefeweizen is filtered for a clean mouthfeel. With distinct-yet-smooth notes of banana and clove, this light-bodied, transparent gold ale is fresh and ready to refresh. Read Less",4,3
3110,22,6.2,Wheat Beer - Kristallweizen,4,2
3111,20,4.0,Wheat Beer - Kristallweizen,4,3
3112,11,4.8,A Light and Refreshing Wheat Beer. A Slightly less Wheat and Yeast profile than other Wheat S,4,2
3113,14,5.0,"Brilliantly clear, crisp and refreshing. Dense, pearl white foamy head. Aromas of banana and clove on the nose. Exotic enough to kick your boots off and dance in the rain. Read Less",4,4
3114,26,4.8,Wheat Beer - Kristallweizen,4,4
3115,18,6.1,Your typical American Wheat with a not so typical white chocolate twist. This slightly sweet wheat is sure to satisfy your inner s,4,4
3116,22,5.2,a wheat beer with mixed culture and dry hop. Brewed on a primitive brewing set up with spring water and Vermont grown grain,4,4
3117,12,6.4,American wheat ale with vanilla lactose and tang,4,4
3118,4,4.0,Wheat Beer - Other,4,2
3119,48,4.7,Brewed in partnership with Pies & Pints in honor of Reagan Mi,4,2
3120,7,7.0,"Wheat Ale brewed with nearly 2000 bananas, Madagascar Vanilla, Turbinado Sugar and Choc",4,4
3121,17,4.7,"A light, refreshing and completely unique wheat beer. The brew has a delicate aroma and a subtle taste of white",4,4
3122,15,4.3,"2nd use fresh strawberries. Tart, refreshing,",4,4
3123,16,4.7,A pale wheat beer with lactose and vanilla added to make a thick and cr,4,4
3124,12,4.7,Wheat Beer - Other,4,3
3125,10,4.0,Wheat Beer - Other,4,2
3126,16,5.0,"A rich and creamy milkshake ale made with real chocolate, vanilla, wheat, oats, and lactose with low ",4,2
3127,13,4.9,Wheat Beer - Other,4,2
3128,22,5.0,Wheat Beer - Other,4,4
3129,12,6.0,Wheat Beer - Other,4,2
3130,15,5.4,Miskatonic Brewing Co Collaboration!!! Light & refreshing summer ale brewed with meyer lemon peel an,4,4
3131,21,5.0,Wheat Beer - Other,4,4
3132,60,14.6,"Caramella or âcandyâ in Italian is a wheatwine aged in Larceny Wheated Bourbon barrels with apple, cinnamon, and natural caramel flavor added after aging. Just like last year, the sweet smoothness from the Larceny Wheated Bourbon barrels adds a lingering warmth that complements the added flavor nuance. Itâs nostalgia-inducing flavors are reminiscent of a caramel apple. Our Lead Lab Analyst, Joey Tidei, created this variant as a tribute to his love of seasonal flavors. This luscious embodiment of caramel perfectly paired with a slightly-tart apple flavor will transport you to a crisp Autumn day. Read Less",4,3
3133,60,15.4,"Made from two row and malted wheat, Bourbon County Brand Wheatwine debuts this year. As the first recipe to veer from the original Imperial Stout since Barleywine in 2013, Wheatwine displays a deep amber color, lighter than its counterparts and acts a true medium to convey the characteristics of our 4+ year old Heaven Hill Bourbon barrels. Wheatwine overflows with flavors of caramel, vanilla, butterscotch, and toffee. Read Less",4,2
3134,70,13.0,Wheat Beer - Wheat Wine,4,4
3135,35,10.0,Wheat wine aged in Jack Danie,4,4
3136,55,12.4,Wheat Beer - Wheat Wine,4,4
3137,80,10.4,Wheat Beer - Wheat Wine,4,3
3138,88,11.6,"Wheat Wine Aged in Rye Whisky Barrels. Rich caramel, sherry, madeira, chocolate covered cher",4,3
3139,42,12.0,"Bourbon Barrel Aged Wheat Wine was brewed in the Barleywine style, using 100% malted wheat and left to age in Wild Turkey bourbon barrels for 10 months. It pours a rich honey hue and opens up with complex oak aromas of vanilla and caramel blended nicely with notes of toffee, marmalade and dates. Barrel aging rounds out this big beer by adding a rich tannic structure. Read Less",4,4
3140,80,10.4,Wheat Beer - Wheat Wine,4,3
3141,14,4.7,Wheat Beer - Witbier / Blanche,4,3
3142,25,8.4,Imperial Wit aged in gin barrels with Kaffir l,4,4
3143,14,4.8,Wheat Beer - Witbier / Blanche,4,2
3144,15,8.0,Wheat Beer - Witbier / Blanche,4,3
3145,15,5.4,We took our favorite pink beer and aged it in Pickney Bend g,4,2
3146,19,6.5,Wheat Beer - Witbier / Blanche,4,2
167,40,8.1,"Named in memory of Ron Brown, our dearly missed engineer/ general problem solver here at Old Nation.

This aggressive Double Brown ale is fresh ground coffee beans for a huge espresso aroma and flavor. Lightly sweet",5,15
199,75,8.0,"Citrus, chocolate & burnt sugar notes meld together in this big, hoppy brown ale brewed with brown sugar.",5,22
235,40,6.0,"Bonfire Ale steals from the winter fires its gift of dark barley and gentle hops to provide you, beer drinker, with this delightful winter treat. Fremont set the sky rockets to flight and wrote the book on afternoon delight before waking the night on the wings of a great blue heron to soar below the radar and above the clouds, raining down beer to blow your mind and caress your soul. Light a Bonfire today.

Down & Dirty: 2-Row & White Wheat, Midnight Wheat, Rye, Smoked, & Chocolate Malts with Cascade and Goldings hops",5,19
274,33,6.5,"This brown ale was brewed to commemorate the 2007 Lungevity Everest Expedition. The people of Tibet call Mt. Everest Ã¢ÂÂChomolungma,Ã¢ÂÂ and this exceptional ale carries on the spirit of the climb. Seven Malts, three hops, and 100 pounds of local wild flower honey give this ale an exceptional character. Baked muffins, dark fruit, bittersweet chocolate, rich honey and earthy subtle hops caress the palate",5,13
342,25,5.1,"This beer is an amalgamation of styles; brown/porter/APA. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another",5,21
345,45,5.5,"Our oatmeal brown ale gets aged on cacao nibs and vanilla (beans, not extract) and finished with cold press coffee, yielding a lush, cappuccino-like creaminess. Also, itÃ¢ÂÂs pronounced ka-COW",5,18
